times_onestep,times_twostep,feature_sizes_onestep,feature_sizes_twostep,rsum_onestep,rsum_twostep,coverage_onestep,coverage_twostep
0.01687349999701837,0.02260220000243862,3,3,2.829499399324536,2.7762988373982553,60,64
0.016472500003146706,0.018684200000279816,2,2,2.888134621311979,2.882773276535533,19,27
0.015335599997342797,0.020675200001278426,2,2,2.885855078980211,2.879602389221916,23,34
0.01449499999944237,0.019422600002144463,2,2,2.87445736732137,2.87445736732137,46,46
0.017113799996877788,0.018550600001617568,2,2,2.87445736732137,2.8739683362140096,46,45
0.01472740000099293,0.02077360000112094,2,2,2.8721778249896017,2.8703029142119973,49,44
0.014612999999371823,0.01860329999908572,2,2,2.8835755366484426,2.880387779415465,27,34
0.014959000000089873,0.018527200001699384,2,2,2.87445736732137,2.8738034913178776,46,45
0.01678170000013779,0.018725800000538584,2,2,2.8926937059755153,2.8873017573053152,11,19
0.01739859999725013,0.025008100001286948,3,3,2.836066359505603,2.7770836692100986,52,62
0.014724699998623691,0.018510300000343705,2,2,2.87445736732137,2.87314411173335,46,45
0.016433799999504117,0.018730299998424016,2,2,2.8926937059755153,2.8868072226169197,11,19
0.015143299999181181,0.020680099998571677,2,2,2.8721778249896017,2.871786518277184,49,45
0.016940399997110944,0.023085199998604367,3,3,2.7664055287020792,2.728323374420957,61,62
0.014399600000615465,0.018451300002197968,2,2,2.8812959943166745,2.8777114267902437,34,35
0.016342599999916274,0.019198099998902762,2,2,2.8904141636437473,2.88511993936849,14,23
0.017025400000420632,0.02456710000114981,3,3,2.836731564337745,2.785336340685622,58,64
0.014518699998006923,0.018794999999954598,2,2,2.888134621311979,2.8832678112239285,19,27
0.016054499999881955,0.0184387000008428,2,2,2.87445736732137,2.873638646421746,46,45
0.01462540000284207,0.02060650000203168,2,2,2.885855078980211,2.88256959735229,23,27
0.014667399998870678,0.018991199998708908,2,2,2.8949732483072834,2.889648420138273,5,14
0.014679700001579477,0.01910679999855347,2,2,2.885855078980211,2.8820750626638945,23,27
0.016731399999116547,0.018548900003224844,2,2,2.598820411874337,2.596330436465849,3,3
0.016545499998755986,0.02452189999894472,3,3,2.843963729350954,2.7900718178817727,55,64
0.016775300002336735,0.02282559999730438,3,3,2.8584280593773714,2.7952407461828583,51,62
0.016369699998904252,0.01880620000156341,2,2,2.8835755366484426,2.880552624311597,27,34
0.01757279999947059,0.02423350000026403,3,3,2.843963729350954,2.7900718178817727,55,64
0.014881499999319203,0.019068600002356106,2,2,2.8926937059755153,2.887796291993711,11,19
0.01667739999902551,0.02281819999916479,3,3,2.7085482085964077,2.677533478578103,61,36
0.01681750000352622,0.018413699999655364,2,2,2.87445736732137,2.8739683362140096,46,45
0.017063299997971626,0.024488099999871338,3,3,2.8157002741302595,2.7750805544814763,60,64
0.014675299997179536,0.019494799998938106,2,2,2.8812959943166745,2.878535651270903,34,35
0.016821699999127304,0.022797000001446577,3,3,2.794003779090632,2.747968044619377,64,64
0.01629999999931897,0.020646600001782645,2,2,2.888134621311979,2.8831029663277965,19,27
0.01680329999726382,0.023002699999778997,3,3,2.7933385742584913,2.7569234775087166,62,61
0.01487749999796506,0.019233800001529744,2,2,2.8926937059755153,2.8876314470975792,11,19
0.01842440000109491,0.02305780000097002,3,3,2.7374768686492437,2.696475387362706,64,55
0.014946600000257604,0.020579200001520803,2,2,2.8812959943166745,2.8778762716863757,34,35
0.015040800000861054,0.01912109999830136,2,2,2.8812959943166745,2.8773817369979797,34,35
0.014666299997770693,0.01892280000174651,2,2,2.8904141636437473,2.8847902495762265,14,23
0.018381999998382526,0.02475609999964945,3,3,2.822267234311327,2.750053229746025,62,64
